Symbol,Name,Last Price,Market Time,Change,% Change,Volume,Market Cap,Intraday High/Low,52 Week Range,Day Chart
PFE,Pfizer Inc.,26.45,2:55PM EST,-2.12,-7.44%,124.124M,149.376B,,,
VRTX,Vertex Pharmaceuticals Incorporated,400.03,2:55PM EST,+42.30,+11.82%,4.744M,103.081B,,,
TSLA,"Tesla, Inc.",237.96,2:55PM EST,+0.95,+0.40%,113.366M,756.446B,,,
RSLS,ReShape Lifesciences Inc.,0.3872,2:55PM EST,+0.1362,+54.26%,195.46M,7.171M,,,
CGC,Canopy Growth Corporation,0.5399,2:55PM EST,-0.1452,-21.19%,80.503M,447.622M,,,
ACAD,ACADIA Pharmaceuticals Inc.,27.92,2:55PM EST,+6.75,+31.88%,12.393M,4.584B,,,
ETSY,"Etsy, Inc.",83.73,2:55PM EST,-2.09,-2.44%,10.635M,10.026B,,,
STTK,"Shattuck Labs, Inc.",4.2100,2:55PM EST,+2.1000,+99.53%,53.636M,178.864M,,,
AAPL,Apple Inc.,197.90,2:55PM EST,+3.18,+1.64%,41.875M,3.078T,,,
X,United States Steel Corporation,38.43,2:55PM EST,+2.04,+5.61%,23.186M,8.571B,,,
UEC,Uranium Energy Corp.,6.28,2:55PM EST,-0.53,-7.71%,21.505M,2.47B,,,
AVTX,"Avalo Therapeutics, Inc.",0.0690,2:55PM EST,+0.0343,+98.85%,244.384M,13.274M,,,
LUV,Southwest Airlines Co.,29.17,2:55PM EST,-1.14,-3.78%,12.708M,17.386B,,,
RILY,"B. Riley Financial, Inc.",19.78,2:55PM EST,-3.20,-13.94%,3.784M,604.93M,,,
MED,"Medifast, Inc.",66.02,2:55PM EST,-9.39,-12.45%,"887,241",719.129M,,,
WEED.TO,Canopy Growth Corporation,0.7300,2:55PM EST,-0.2000,-21.51%,16.914M,605.231M,,,
FSR,Fisker Inc.,1.4700,2:55PM EST,+0.0300,+2.08%,17.676M,515.317M,,,
GTHX,"G1 Therapeutics, Inc.",2.5401,2:55PM EST,-1.1899,-31.90%,6.559M,131.688M,,,
CHSN,Chanson International Holding,15.00,2:55PM EST,+3.72,+32.98%,2.655M,185.85M,,,
NFLX,"Netflix, Inc.",481.25,2:55PM EST,+18.25,+3.94%,4.078M,210.634B,,,
ZM,"Zoom Video Communications, Inc.",70.59,2:55PM EST,-0.69,-0.97%,2.851M,21.489B,,,
IEP,Icahn Enterprises L.P.,15.73,2:55PM EST,-0.09,-0.57%,1.42M,6.462B,,,
ADBE,Adobe Inc.,625.59,2:55PM EST,-8.07,-1.27%,3.123M,284.831B,,,
ADCT,ADC Therapeutics SA,1.5800,2:55PM EST,+0.5500,+53.40%,6.905M,127.415M,,,
CALM,"Cal-Maine Foods, Inc.",53.41,2:55PM EST,+4.52,+9.25%,1.343M,2.616B,,,
OILK,ProShares K-1 Free Crude Oil Strategy ETF,41.49,2:50PM EST,+0.50,+1.22%,"143,959",N/A,,,
BABA,Alibaba Group Holding Limited,70.97,2:55PM EST,-0.42,-0.58%,16.149M,181.895B,,,
ELF,"e.l.f. Beauty, Inc.",139.85,2:55PM EST,+8.78,+6.70%,1.418M,7.72B,,,
MARA,"Marathon Digital Holdings, Inc.",16.60,2:55PM EST,+1.71,+11.48%,45.24M,3.696B,,,
ABM,ABM Industries Incorporated,52.24,2:55PM EST,+7.88,+17.76%,1.837M,3.423B,,,
